path	git_first_seen	git_last_modified	first_equals_last
Notes/DEPT.md	2025-02-09	2026-04-23	0
Notes/DEQ Definitions.md	2023-10-29	2026-04-15	0
Notes/DEQ Problems.md	2024-01-27	2026-04-15	0
Notes/DEQ Techniques.md	2023-10-29	2026-04-15	0
Notes/DEQs.md	2023-10-29	2026-04-15	0
Notes/DFS.md	2023-10-29	2026-04-15	0
Notes/DIBALH.md	2023-09-16	2026-04-15	0
Notes/DNA Duplication.md	2023-08-20	2026-04-15	0
Notes/DNA.md	2023-09-16	2026-04-15	0
Notes/DNP.md	2024-01-27	2026-04-23	0
Notes/Damped Oscillator.md	2023-08-20	2026-04-15	0
Notes/Daniel Hong.md	2025-02-09	2026-04-15	0
